Наименование эмитента; ИНН эмитента; Государственный регистрационный номер выпуска; Дата государственной регистрации выпуска; Вид ценной бумаги (государственная облигация, облигация, акция, биржевая облигация, пай); Торговая площадка; ИНН торговой площадки; Код ЦБ на торговой площадке; ISIN; Оставшаяся непогашенной часть номинала ЦБ; Валюта номинала; Дата погашения ЦБ; Размер государственных гарантий по ценной бумаге (для ипотечных ценных бумаг); Дата начала размещения выпуска; Дата окончания размещения выпуска; Дата регистрации отчета об итогах выпуска; Рыночная цена, рассчитываемая в соответствии с постановлением ФСФР №10-65/пз-н от 09.11.2010г.; Рыночная цена, рассчитываемая в соответствии с (Приказ ФСФР от 26.12.2006 N 06-155/пз-н); Признаваемая котировка ЦБ (Постановление ФСФР № 05-21/пз-н от 15.06.2005); Рыночная стоимость всех ЦБ данного выпуска (Постановление ФСФР №10-65/пз-н от 09.11.2010г.); НКД; Объем сделок, по которым был произведен расчет рыночной цены ценной бумаги (Приказ ФСФР от 26.12.2006 N 06-155/пз-н); Минимальная цена рыночной сделки; Максимальная цена рыночной сделки; Средневзвешенная цена; Доходность к погашению; Отчетная дата; Дата предоставления информации; Режим торгов; Количество ценных бумаг в выпуске; Количество размещенных ценных бумаг выпуска; Общий объем эмиссии в валюте номинала; Цена последней сделки; Цена закрытия; Дюрация, дней; Цена спроса на момент окончания торговой сессии; Дата ближайшей оферты по облигациям
ВЭБлизинг4;7709413138;4-04-43801-H;20.04.2010;об;ОАО Московская Биржа;7703507076;RU000A0JREX3;RU000A0JREX3;1000;RUR;02.04.2021;0;05.05.2011;02.04.2021;28.04.2011;0;0;995;0;49,97;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;995;0;978,3;12.04.2017
ВЭБлизинг5;7709413138;4-05-43801-H;20.04.2010;об;ОАО Московская Биржа;7703507076;RU000A0JREZ8;RU000A0JREZ8;1000;RUR;02.04.2021;0;05.05.2011;02.04.2021;28.04.2011;0;0;1005;0;49,97;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1005;0;981;12.04.2017
РУСАЛБАл08;3803100054;4-08-20075-F;20.05.2010;об;ОАО Московская Биржа;7703507076;RU000A0JRF11;RU000A0JRF11;1000;RUR;05.04.2021;0;18.04.2011;18.04.2011;26.04.2011;1000,6;0;1000;15009000000;48,99;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;15000000;15000000;15000000000;0;1000;205;984;12.04.2017
АИЖК 19об;7729355614;4-19-00739-A;27.05.2010;об;ОАО Московская Биржа;7703507076;RU000A0JRF37;RU000A0JRF37;1000;RUR;15.11.2024;0;19.04.2011;19.04.2011;28.04.2011;1004,5999999999999;0;1000;6027599999,999999;5,99;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;6000000;6000000;6000000000;0;1000;943;0;19.08.2019
РусГидро01;2460066195;4-01-55038-E;23.09.2010;об;ОАО Московская Биржа;7703507076;RU000A0JRFN1;RU000A0JRFN1;1000;RUR;12.04.2021;0;17.05.2011;12.04.2021;12.05.2011;920;0;990;9200000000;36,96;0;990;990;990;10,01;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;990;990;1347;929;
РусГидро02;2460066195;4-02-55038-E;23.09.2010;об;ОАО Московская Биржа;7703507076;RU000A0JRFP6;RU000A0JRFP6;1000;RUR;12.04.2021;0;17.05.2011;12.04.2021;12.05.2011;0;0;953,4000000000001;0;36,96;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;5000000;10000000000;0;953,4000000000001;0;913,6;
КузбЭнрФ02;7730639579;4-02-36401-R;07.04.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRFX0;RU000A0JRFX0;1000;RUR;15.04.2021;0;28.04.2011;28.04.2011;17.05.2011;0;0;972,0999999999999;0;33,13;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;972,0999999999999;0;952;25.04.2017
Акрон 04;5321029508;4-05-00207-A;05.05.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRHF3;RU000A0JRHF3;1000;RUR;18.05.2021;0;13.07.2011;18.05.2021;05.07.2011;1015;0;1020;3806250000;29,62;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;3750000;2470972;3750000000;0;1020;1128;1001;21.05.2020
Акрон 05;5321029508;4-06-00207-A;05.05.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRHG1;RU000A0JRHG1;1000;RUR;18.05.2021;0;13.07.2011;18.05.2021;05.07.2011;1009,7;0;1017;3786375000;29,62;0;1017;1017;1017;9,87;07.09.2016;08.09.2016;EQOB;3750000;1752785;3750000000;1017;1017;1128;997,5;21.05.2020
ЗСД 01;7825392577;4-01-00350-D;21.04.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRJB8;RU000A0JRJB8;1000;RUR;13.05.2031;0;23.05.2012;13.05.2031;14.06.2011;0;0;999,9;0;28,32;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;999,9;0;816,5999999999999;
